,asian,black/african american,white/caucasian,hispanic/latino,pacific islander,native american/indigenous
118940003.0,0,0,0,0,0,0
128601007.0,0,0,0,0,0,0
134407002.0,0,0,0,0,0,0
162315007.0,0,0,0,0,0,0
186748004.0,0,0,0,0,0,0
191736004.0,0,0,0,0,0,0
202852009.0,0,0,0,0,0,0
202882003.0,0,0,0,0,0,0
213257006.0,0,0,0,0,0,0
214264003.0,0,0,0,0,0,0
236620008.0,0,0,0,0,0,0
238539001.0,0,0,0,0,0,0
239873007.0,0,0,0,0,0,0
239965002.0,0,0,0,0,0,0
240131006.0,0,0,0,0,0,0
247592009.0,0,0,0,0,0,0
250084002.0,0,0,0,0,0,0
267953003.0,0,0,0,0,0,0
271587009.0,0,0,0,0,0,0
271767006.0,0,0,0,0,0,0
271832001.0,0,0,0,0,0,0
281794004.0,0,0,0,0,0,0
307496006.0,0,0,0,0,0,0
308925008.0,0,0,0,0,0,0
314983004.0,0,0,0,0,0,0
315642008.0,0,0,0,0,0,0
363058009.0,0,0,0,0,0,0
363406005.0,0,0,0,0,0,0
367391008.0,0,0,0,0,0,0
371081002.0,0,0,0,0,0,0
397803000.0,0,0,0,0,0,0
397825006.0,0,0,0,0,0,0
399122003.0,0,0,0,0,0,0
402234004.0,0,0,0,0,0,0
409622000.0,0,0,0,0,0,0
423849004.0,0,0,0,0,0,0
425772008.0,0,0,0,0,0,0
428281000.0,0,0,0,0,0,0
429340002.0,0,0,0,0,0,0
429360005.0,0,0,0,0,0,0
440630006.0,0,0,0,0,0,0
443694000.0,0,0,0,0,0,0
444312002.0,0,0,0,0,0,0
448589005.0,0,0,0,0,0,0
609599003.0,0,0,0,0,0,0
609600000.0,0,0,0,0,0,0
