,male,female
syphilis,127,36
covid-19,15162,6663
40733004.0,28661,7130
hiv/aids,5552,5197
tuberculoses,15716,18013
colon cancer,1149,454
363346000.0,17192,15812
371632003.0,1863,1938
26929004.0,963,732
56265001.0,970,862
63102001.0,134,106
73211009.0,2298,2936
49049000.0,799,536
49601007.0,286,225
50829006.0,356,294
6142004.0,1398,674
52448006.0,960,1025
61462000.0,711,791
21134002.0,1432,2285
86044005.0,8310,1142
74732009.0,190,181
57182000.0,4,1
prostate cancer,1971,227
ovarian cancer,136,444
399068003.0,1934,222
bacterial pneumonia,631,666
type 2 diabetes,361,382
essential hypertension,852,1160
40930008.0,18,36
44054006.0,208,196
233604007.0,631,666
428281000.0,23,12
13746004.0,96,93
22298006.0,811,374
lupus,1238,505
396275006.0,283,162
10743008.0,655,1091
23502006.0,13,7
200936003.0,235,167
14669001.0,13,13
42399005.0,192,95
3723001.0,165,215
698247007.0,166,213
rheumatoid arthritis,57,89
69896004.0,46,78
193570009.0,44,32
multiple sclerosis,293,1217
24700007.0,293,1217
80690008.0,33,70
40095003.0,21,15
195967001.0,354,352
53741008.0,151,108
chagas disease,6,0
gastric cancer,183,49
235856003.0,68,55
69322001.0,48,46
278040002.0,14,20
60032008.0,0,1
237602007.0,47,76
37340000.0,47,81
193462001.0,122,103
hepatitis b,96,85
386807006.0,63,26
32398004.0,153,64
13791008.0,66,87
87486003.0,68,82
46635009.0,26,50
386806002.0,37,45
161891005.0,7,8
162076009.0,16,6
70076002.0,9,16
15188001.0,37,23
399269003.0,4,2
193000002.0,17,27
3545003.0,11,5
129565002.0,19,6
44695005.0,125,63
56317004.0,13,12
88092000.0,5,5
33308003.0,2,4
32798002.0,6,3
64226004.0,11,54
202882003.0,2,0
429040005.0,27,61
24693007.0,6,19
161156004.0,26,8
56925008.0,3,6
43116000.0,8,21
386033004.0,33,33
428061005.0,77,38
59927004.0,2,6
34840004.0,17,15
36971009.0,5,2
multiple myeloma,31,13
131148009.0,2,1
ulcerative colitis,5,45
64766004.0,5,45
60862001.0,24,16
55300003.0,2,4
307496006.0,6,6
14304000.0,15,10
271596009.0,3,12
371405004.0,26,1
128609009.0,11,5
370143000.0,19,48
endocarditis,8,10
193093009.0,8,11
76376003.0,0,3
129103003.0,15,118
crohn’s disease,1,2
75694006.0,10,7
443892003.0,8,1
39400004.0,2,0
sarcoidoses,21,15
48661000.0,12,44
267045008.0,0,1
397540003.0,5,24
302226006.0,6,7
84017003.0,10,0
280816001.0,2,2
3716002.0,1,6
57406009.0,1,1
7973008.0,1,0
62315008.0,6,0
399122003.0,6,0
54150009.0,1,0
80967001.0,10,11
32914008.0,1,3
68172002.0,62,15
takotsubo cardiomyopathy,1,1
90708001.0,9,7
39621005.0,0,5
4308002.0,0,0
6471006.0,0,0
8357008.0,0,0
9126005.0,0,0
9829001.0,0,0
11072008.0,0,0
11381005.0,0,0
11654001.0,0,0
18193002.0,0,0
18718003.0,0,0
22193007.0,0,0
23919004.0,0,0
25458004.0,0,0
26544005.0,0,0
26889001.0,0,0
29384001.0,0,0
30811009.0,0,0
30989003.0,0,0
31384009.0,0,0
35489007.0,0,0
38936003.0,0,0
41982003.0,0,0
42345000.0,0,0
43364001.0,0,0
45352006.0,0,0
47004009.0,0,0
52702003.0,0,0
57676002.0,0,0
61599003.0,0,0
66383009.0,0,0
67362008.0,0,0
68449006.0,0,0
68566005.0,0,0
68962001.0,0,0
73442001.0,0,0
77547008.0,0,0
81308009.0,0,0
81498004.0,0,0
82639001.0,0,0
82991003.0,0,0
83901003.0,0,0
85828009.0,0,0
95891005.0,0,0
102480002.0,0,0
118940003.0,0,0
128601007.0,0,0
134407002.0,0,0
162315007.0,0,0
186748004.0,0,0
191736004.0,0,0
202852009.0,0,0
213257006.0,0,0
214264003.0,0,0
236620008.0,0,0
238539001.0,0,0
239873007.0,0,0
239965002.0,0,0
240131006.0,0,0
247592009.0,0,0
250084002.0,0,0
267953003.0,0,0
271587009.0,0,0
271767006.0,0,0
271832001.0,0,0
281794004.0,0,0
308925008.0,0,0
314983004.0,0,0
315642008.0,0,0
363058009.0,0,0
363406005.0,0,0
367391008.0,0,0
371081002.0,0,0
397803000.0,0,0
397825006.0,0,0
402234004.0,0,0
409622000.0,0,0
423849004.0,0,0
425772008.0,0,0
429340002.0,0,0
429360005.0,0,0
440630006.0,0,0
443694000.0,0,0
444312002.0,0,0
448589005.0,0,0
609599003.0,0,0
609600000.0,0,0
