,white/caucasian,black/african american,hispanic/latino,asian,native american/indigenous,pacific islander
247592009.0,0,0,0,0,0,0
250084002.0,0,0,0,0,0,0
267045008.0,4,4,3,0,0,0
267953003.0,0,0,0,0,0,0
271587009.0,0,0,0,0,0,0
271596009.0,56,31,1,1,1,0
271767006.0,0,0,0,0,0,0
271832001.0,0,0,0,0,0,0
278040002.0,124,1080,3,0,0,0
280816001.0,56,95,40,5,0,0
281794004.0,0,0,0,0,0,0
302226006.0,56,297,0,0,0,0
307496006.0,43,39,25,3,9,3
308925008.0,0,0,0,0,0,0
314983004.0,0,0,0,0,0,0
315642008.0,0,0,0,0,0,0
363058009.0,0,0,0,0,0,0
363346000.0,170018,351343,9961,5037,1957,669
363406005.0,0,0,0,0,0,0
367391008.0,4,0,0,0,0,0
370143000.0,1158,514,135,109,3,1
371081002.0,0,0,0,0,0,0
371405004.0,29,67,162,9,10,8
371632003.0,72346,200858,796,277,1530,1008
386033004.0,959,1996,65,52,0,0
386806002.0,731,379,26,28,7,0
386807006.0,1856,2648,30,30,9,0
396275006.0,1687,2307,57,1139,14,5
397540003.0,82,76,1,0,0,0
397803000.0,0,0,0,0,0,0
397825006.0,0,0,0,0,0,0
399068003.0,8159,9385,280,76,17,2
399122003.0,4,43,0,0,0,0
399269003.0,100,177,12,0,0,0
402234004.0,0,0,0,0,0,0
409622000.0,0,0,0,0,0,0
423849004.0,0,0,0,0,0,0
425772008.0,0,0,0,0,0,0
428061005.0,468,671,6,12,3,4
428281000.0,103,134,0,0,0,0
429040005.0,332,1686,25,14,9,3
429340002.0,44,40,0,8,12,0
429360005.0,0,0,0,0,0,0
440630006.0,0,0,0,0,0,0
443694000.0,0,0,0,0,0,0
443892003.0,246,354,7,0,0,0
444312002.0,0,0,0,0,0,0
448589005.0,0,0,0,0,0,0
609599003.0,0,0,0,0,0,0
609600000.0,0,0,0,0,0,0
698247007.0,4653,9756,192,335,60,46
