,black/african american,white/caucasian,hispanic/latino,native american/indigenous,asian,pacific islander
ulcerative colitis,1,0,0,0,0,0
64766004.0,1,0,0,0,0,0
takotsubo cardiomyopathy,1,0,0,0,0,0
75694006.0,0,1,0,0,0,0
endocarditis,0,0,0,0,0,0
rheumatoid arthritis,0,0,0,0,0,0
crohn’s disease,0,0,0,0,0,0
3545003.0,0,0,0,0,0,0
3716002.0,0,0,0,0,0,0
4308002.0,0,0,0,0,0,0
6471006.0,0,0,0,0,0,0
7973008.0,0,0,0,0,0,0
8357008.0,0,0,0,0,0,0
9126005.0,0,0,0,0,0,0
9829001.0,0,0,0,0,0,0
11072008.0,0,0,0,0,0,0
11381005.0,0,0,0,0,0,0
11654001.0,0,0,0,0,0,0
14669001.0,0,0,0,0,0,0
18193002.0,0,0,0,0,0,0
18718003.0,0,0,0,0,0,0
22193007.0,0,0,0,0,0,0
23919004.0,0,0,0,0,0,0
25458004.0,0,0,0,0,0,0
26544005.0,0,0,0,0,0,0
26889001.0,0,0,0,0,0,0
29384001.0,0,0,0,0,0,0
30811009.0,0,0,0,0,0,0
30989003.0,0,0,0,0,0,0
31384009.0,0,0,0,0,0,0
32798002.0,0,0,0,0,0,0
33308003.0,0,0,0,0,0,0
34840004.0,0,0,0,0,0,0
35489007.0,0,0,0,0,0,0
36971009.0,0,0,0,0,0,0
38936003.0,0,0,0,0,0,0
39400004.0,0,0,0,0,0,0
39621005.0,0,0,0,0,0,0
41982003.0,0,0,0,0,0,0
42345000.0,0,0,0,0,0,0
43364001.0,0,0,0,0,0,0
45352006.0,0,0,0,0,0,0
47004009.0,0,0,0,0,0,0
48661000.0,0,0,0,0,0,0
52702003.0,0,0,0,0,0,0
54150009.0,0,0,0,0,0,0
55300003.0,0,0,0,0,0,0
57406009.0,0,0,0,0,0,0
57676002.0,0,0,0,0,0,0
59927004.0,0,0,0,0,0,0
60032008.0,0,0,0,0,0,0
61599003.0,0,0,0,0,0,0
62315008.0,0,0,0,0,0,0
66383009.0,0,0,0,0,0,0
67362008.0,0,0,0,0,0,0
68172002.0,0,0,0,0,0,0
68449006.0,0,0,0,0,0,0
68566005.0,0,0,0,0,0,0
68962001.0,0,0,0,0,0,0
69896004.0,0,0,0,0,0,0
70076002.0,0,0,0,0,0,0
73442001.0,0,0,0,0,0,0
76376003.0,0,0,0,0,0,0
77547008.0,0,0,0,0,0,0
81308009.0,0,0,0,0,0,0
81498004.0,0,0,0,0,0,0
82639001.0,0,0,0,0,0,0
82991003.0,0,0,0,0,0,0
83901003.0,0,0,0,0,0,0
84017003.0,0,0,0,0,0,0
85828009.0,0,0,0,0,0,0
88092000.0,0,0,0,0,0,0
90708001.0,0,0,0,0,0,0
95891005.0,0,0,0,0,0,0
102480002.0,0,0,0,0,0,0
118940003.0,0,0,0,0,0,0
128601007.0,0,0,0,0,0,0
128609009.0,0,0,0,0,0,0
129565002.0,0,0,0,0,0,0
131148009.0,0,0,0,0,0,0
134407002.0,0,0,0,0,0,0
161156004.0,0,0,0,0,0,0
161891005.0,0,0,0,0,0,0
162076009.0,0,0,0,0,0,0
162315007.0,0,0,0,0,0,0
