,white/caucasian,black/african american,asian,hispanic/latino,pacific islander,native american/indigenous
7973008.0,0,0,0,0,0,0
8357008.0,0,0,0,0,0,0
9126005.0,0,0,0,0,0,0
9829001.0,0,0,0,0,0,0
11072008.0,0,0,0,0,0,0
11381005.0,0,0,0,0,0,0
11654001.0,0,0,0,0,0,0
18193002.0,0,0,0,0,0,0
18718003.0,0,0,0,0,0,0
22193007.0,0,0,0,0,0,0
23919004.0,0,0,0,0,0,0
25458004.0,0,0,0,0,0,0
26544005.0,0,0,0,0,0,0
26889001.0,0,0,0,0,0,0
29384001.0,0,0,0,0,0,0
30811009.0,0,0,0,0,0,0
30989003.0,0,0,0,0,0,0
31384009.0,0,0,0,0,0,0
32798002.0,0,0,0,0,0,0
33308003.0,0,0,0,0,0,0
34840004.0,0,0,0,0,0,0
35489007.0,0,0,0,0,0,0
36971009.0,0,0,0,0,0,0
38936003.0,0,0,0,0,0,0
39400004.0,0,0,0,0,0,0
39621005.0,0,0,0,0,0,0
41982003.0,0,0,0,0,0,0
43364001.0,0,0,0,0,0,0
45352006.0,0,0,0,0,0,0
47004009.0,0,0,0,0,0,0
48661000.0,0,0,0,0,0,0
52702003.0,0,0,0,0,0,0
55300003.0,0,0,0,0,0,0
57406009.0,0,0,0,0,0,0
57676002.0,0,0,0,0,0,0
60032008.0,0,0,0,0,0,0
61599003.0,0,0,0,0,0,0
62315008.0,0,0,0,0,0,0
66383009.0,0,0,0,0,0,0
67362008.0,0,0,0,0,0,0
68172002.0,0,0,0,0,0,0
68449006.0,0,0,0,0,0,0
68566005.0,0,0,0,0,0,0
68962001.0,0,0,0,0,0,0
73442001.0,0,0,0,0,0,0
76376003.0,0,0,0,0,0,0
77547008.0,0,0,0,0,0,0
81498004.0,0,0,0,0,0,0
82639001.0,0,0,0,0,0,0
82991003.0,0,0,0,0,0,0
83901003.0,0,0,0,0,0,0
84017003.0,0,0,0,0,0,0
85828009.0,0,0,0,0,0,0
90708001.0,0,0,0,0,0,0
95891005.0,0,0,0,0,0,0
102480002.0,0,0,0,0,0,0
118940003.0,0,0,0,0,0,0
128601007.0,0,0,0,0,0,0
128609009.0,0,0,0,0,0,0
129565002.0,0,0,0,0,0,0
134407002.0,0,0,0,0,0,0
162076009.0,0,0,0,0,0,0
162315007.0,0,0,0,0,0,0
186748004.0,0,0,0,0,0,0
191736004.0,0,0,0,0,0,0
193093009.0,0,0,0,0,0,0
202852009.0,0,0,0,0,0,0
202882003.0,0,0,0,0,0,0
213257006.0,0,0,0,0,0,0
214264003.0,0,0,0,0,0,0
236620008.0,0,0,0,0,0,0
238539001.0,0,0,0,0,0,0
239873007.0,0,0,0,0,0,0
239965002.0,0,0,0,0,0,0
240131006.0,0,0,0,0,0,0
247592009.0,0,0,0,0,0,0
250084002.0,0,0,0,0,0,0
267045008.0,0,0,0,0,0,0
267953003.0,0,0,0,0,0,0
271587009.0,0,0,0,0,0,0
271767006.0,0,0,0,0,0,0
271832001.0,0,0,0,0,0,0
281794004.0,0,0,0,0,0,0
307496006.0,0,0,0,0,0,0
308925008.0,0,0,0,0,0,0
314983004.0,0,0,0,0,0,0
315642008.0,0,0,0,0,0,0
363058009.0,0,0,0,0,0,0
363406005.0,0,0,0,0,0,0
